Gene symbol,v-score,q-value (BH-FDR-corrected p-value),"Maximum abundance (normalized counts, rounded)"
Asns, 2.091 ,0.01882,28
Calcoco2, 2.064 ,0.01882,25
Ctsl, 2.063 ,0.01882,28
Dppa5a, 2.036 ,0.01882,133
Fam229b, 2.024 ,0.01882,38
Chchd10, 2.018 ,0.01882,29
Sbk1, 1.987 ,0.024794,21
E130012A19Rik, 1.975 ,0.024794,31
Laptm5, 1.967 ,0.024794,22
Dnmt3l, 1.954 ,0.024794,35
Krt19, 1.939 ,0.024794,11
Wtap, 1.936 ,0.024794,65
Dusp9, 1.924 ,0.024794,24
Gpx4, 1.923 ,0.024794,53
Tdh, 1.912 ,0.024794,41
P4hb, 1.909 ,0.024794,32
Tspan17, 1.898 ,0.024794,23
S100a10, 1.897 ,0.024794,34
Slc2a3, 1.895 ,0.032493,40
Ldha, 1.891 ,0.032493,35
Peg10, 1.871 ,0.038635,36
Rhox13, 1.863 ,0.038635,15
Igfbp2, 1.860 ,0.038635,24
Tdgf1, 1.858 ,0.038635,31
Vim, 1.858 ,0.038635,15
Tor4a, 1.849 ,0.038635,53
Lamc1, 1.840 ,0.053653,36
Ldhb, 1.818 ,0.060827,14
Lgmn, 1.809 ,0.067887,28
Klf5, 1.806 ,0.071607,19
Upp1, 1.805 ,0.071607,17
A630089N07Rik, 1.805 ,0.071607,45
Ngfrap1, 1.800 ,0.071607,37
Dusp1, 1.791 ,0.071607,14
Slc2a1, 1.790 ,0.071607,30
BC018473, 1.786 ,0.071607,30
Pmvk, 1.783 ,0.071607,18
Calr, 1.780 ,0.071607,26
Pbld1, 1.777 ,0.071607,54
Fabp5, 1.777 ,0.071607,16
Slc25a5, 1.764 ,0.071607,21
Eif2s2, 1.741 ,0.071607,52
Asb13, 1.738 ,0.07173,28
Kif15, 1.738 ,0.07173,22
Slc3a2, 1.737 ,0.07173,39
Gm7325, 1.726 ,0.07173,25
Atf5, 1.724 ,0.07173,15
Id3, 1.703 ,0.075054,15
Hspb1, 1.684 ,0.075054,52
Ifitm1, 1.681 ,0.075054,14
Erdr1, 1.675 ,0.075054,40
Pgk1, 1.669 ,0.075054,59
Htra1, 1.660 ,0.075054,20
Kpna2, 1.657 ,0.075054,24
Morf4l2, 1.656 ,0.075054,26
Ctsd, 1.652 ,0.075054,29
Cdc20, 1.651 ,0.075054,20
Gpx1, 1.649 ,0.075054,40
Id2, 1.649 ,0.075054,14
Madd, 1.648 ,0.075054,38
Rasgrp2, 1.647 ,0.075054,12
Zfp286, 1.644 ,0.075054,16
Pfdn2, 1.637 ,0.075054,18
Aes, 1.632 ,0.075054,25
Ccne1, 1.631 ,0.075054,19
Sort1, 1.629 ,0.075054,28
Kctd15, 1.629 ,0.075054,24
Elp5, 1.628 ,0.075054,23
Bcas2, 1.617 ,0.075054,41
Plec, 1.611 ,0.075054,21
Map4k5, 1.604 ,0.075054,35
Flnb, 1.600 ,0.075054,28
Fth1, 1.600 ,0.075054,65
Glud1, 1.599 ,0.075054,48
Akr1b3, 1.598 ,0.075054,23
Mycn, 1.596 ,0.075054,19
Nanog, 1.596 ,0.075054,18
Acot13, 1.595 ,0.075054,21
Ikbip, 1.594 ,0.075054,23
Ckb, 1.594 ,0.075054,20
Echdc2, 1.589 ,0.075054,12
Eif4ebp1, 1.577 ,0.075054,34
Ptcd2, 1.574 ,0.075054,14
Marcksl1, 1.573 ,0.075054,19
Actb, 1.570 ,0.075054,94
Cep83, 1.569 ,0.075054,16
Tceb2, 1.569 ,0.075054,29
2410006H16Rik, 1.567 ,0.075054,19
Pkp2, 1.566 ,0.075054,17
Blvrb, 1.562 ,0.075054,17
Ube2l6, 1.561 ,0.075054,15
Pcolce, 1.557 ,0.075054,14
Tcl1, 1.553 ,0.075054,11
Klf2, 1.553 ,0.075054,18
Hmces, 1.550 ,0.075054,17
D11Wsu47e, 1.548 ,0.075054,12
Mfge8, 1.545 ,0.075054,16
Rpl39l, 1.544 ,0.075054,12
Pdia6, 1.544 ,0.075054,23
Creld2, 1.543 ,0.075054,17
Utf1, 1.541 ,0.075054,28
Surf4, 1.539 ,0.075054,21
Gng5, 1.539 ,0.075054,26
Stmn2, 1.538 ,0.075054,15
Trib3, 1.533 ,0.075054,16
Hist1h4i, 1.532 ,0.075054,9
Hist1h3b, 1.528 ,0.075054,6
Exoc3l, 1.528 ,0.075054,12
Set, 1.527 ,0.075054,67
Tpd52, 1.527 ,0.075054,18
Gabarapl2, 1.527 ,0.075054,14
H2afx, 1.526 ,0.075054,15
Nxn, 1.526 ,0.075054,13
Cks2, 1.522 ,0.075054,18
Nme6, 1.521 ,0.075054,23
Cd9, 1.519 ,0.075054,30
2810403A07Rik, 1.519 ,0.075054,25
Arl6ip1, 1.518 ,0.075054,17
Pim3, 1.518 ,0.075054,23
Psap, 1.518 ,0.075054,18
Sssca1, 1.517 ,0.075054,21
Stmn1, 1.516 ,0.075054,15
Zfp296, 1.514 ,0.075054,11
Pdlim7, 1.512 ,0.075054,17
Actn1, 1.506 ,0.075054,24
Glrx5, 1.506 ,0.075054,14
Epha2, 1.505 ,0.075054,23
Exosc2, 1.505 ,0.075054,29
Psmd7, 1.504 ,0.075054,21
Gm6083, 1.503 ,0.075054,30
Pkig, 1.503 ,0.075054,10
Bloc1s1, 1.502 ,0.075054,20
Supt4a, 1.502 ,0.075054,19
Dnmt3b, 1.501 ,0.075054,21
Apoe, 1.500 ,0.075054,14
Clic4, 1.496 ,0.075054,24
Bex1, 1.496 ,0.075054,35
Cenpn, 1.495 ,0.075054,12
Cox10, 1.492 ,0.075054,15
Mdh2, 1.492 ,0.075054,23
Nkain3, 1.491 ,0.075054,66
Srm, 1.490 ,0.075054,24
Tsc22d1, 1.490 ,0.075054,27
Qsox1, 1.490 ,0.075054,26
Ulk1, 1.489 ,0.075054,17
Gpx3, 1.488 ,0.075054,17
Srgn, 1.488 ,0.075054,12
Xrcc1, 1.488 ,0.075054,12
Rpl10l, 1.487 ,0.075054,13
Ung, 1.486 ,0.075054,17
Itpk1, 1.486 ,0.075054,14
Mthfd2, 1.485 ,0.075054,12
Srrd, 1.485 ,0.075054,16
Hspa12b, 1.483 ,0.075054,26
Parvb, 1.481 ,0.075054,19
Imp3, 1.479 ,0.075054,14
Thoc3, 1.479 ,0.075054,21
Hn1, 1.478 ,0.075054,16
1110008F13Rik, 1.478 ,0.075054,18
2310036O22Rik, 1.477 ,0.075054,20
Crip1, 1.476 ,0.075054,16
Esrrb, 1.475 ,0.075054,20
Gtf3a, 1.475 ,0.075054,13
Aurka, 1.474 ,0.075054,10
Ass1, 1.473 ,0.075054,15
Rnaseh2c, 1.473 ,0.075054,14
Tbc1d16, 1.472 ,0.075054,23
Ube2s, 1.471 ,0.075054,31
Cdk2ap1, 1.470 ,0.075054,15
Tmem230, 1.469 ,0.075054,21
Pdgfa, 1.468 ,0.075054,10
Rrp7a, 1.468 ,0.075054,13
Tyw1, 1.468 ,0.075054,36
Erf, 1.464 ,0.075054,22
Timm8b, 1.464 ,0.075054,12
D230025D16Rik, 1.464 ,0.075054,14
Scd2, 1.463 ,0.075054,19
Med13l, 1.463 ,0.075054,19
Syce2, 1.462 ,0.075054,13
Arf1, 1.462 ,0.075054,34
Fcf1, 1.461 ,0.075054,10
Etv4, 1.459 ,0.075054,17
Eid2, 1.458 ,0.075054,8
Polr2h, 1.456 ,0.075054,18
Rad51, 1.456 ,0.075054,13
Dppa4, 1.455 ,0.075054,17
Sertad1, 1.454 ,0.075054,12
Lincenc1, 1.453 ,0.075054,11
Cox7a2l, 1.451 ,0.075054,19
Sf3b5, 1.451 ,0.075054,13
Tra2b, 1.451 ,0.075054,19
Tinagl1, 1.450 ,0.075054,14
Tubb6, 1.450 ,0.075054,14
Chchd3, 1.450 ,0.075054,13
Fam195a, 1.449 ,0.075054,9
Abcd4, 1.449 ,0.075054,27
F830016B08Rik, 1.448 ,0.075054,26
U2af1, 1.446 ,0.075054,21
Rbfa, 1.444 ,0.075054,10
Fn1, 1.444 ,0.075054,23
Cope, 1.444 ,0.075054,11
Dym, 1.443 ,0.075054,11
Calu, 1.443 ,0.075054,18
Crlf2, 1.442 ,0.075054,11
Top2a, 1.441 ,0.075054,14
Cstb, 1.441 ,0.075054,10
Ppa1, 1.440 ,0.075054,17
Arl6ip4, 1.440 ,0.075054,10
Tuba4a, 1.439 ,0.075054,24
Bzw2, 1.438 ,0.075054,19
Churc1, 1.438 ,0.075054,34
Bud31, 1.438 ,0.075054,20
Aifm1, 1.437 ,0.075054,16
Ndufa13, 1.436 ,0.075054,12
Dstn, 1.435 ,0.075054,18
Ocel1, 1.435 ,0.075054,15
Galk1, 1.435 ,0.075054,11
Hmox1, 1.433 ,0.075054,12
Ubald2, 1.433 ,0.075054,15
Romo1, 1.432 ,0.075054,14
Phc1, 1.432 ,0.075054,23
Emc10, 1.432 ,0.075054,13
Ptov1, 1.431 ,0.075054,17
Snf8, 1.430 ,0.075054,21
Calm2, 1.429 ,0.075054,21
Mrpl14, 1.429 ,0.075054,13
Pih1d1, 1.427 ,0.075054,14
Dhx16, 1.427 ,0.075054,19
Siva1, 1.427 ,0.075054,18
Pop5, 1.426 ,0.075054,11
Tex19.1, 1.426 ,0.075054,18
Ube3b, 1.425 ,0.075054,14
Col18a1, 1.425 ,0.075054,15
Lias, 1.425 ,0.075054,20
Fscn1, 1.423 ,0.075054,19
Ltb, 1.423 ,0.075054,14
Psma2, 1.422 ,0.075054,27
Pmm1, 1.422 ,0.075054,18
Arpc1b, 1.422 ,0.075054,16
Mrpl34, 1.422 ,0.075054,17
Grn, 1.422 ,0.075054,15
Cct5, 1.422 ,0.075054,24
Cfdp1, 1.421 ,0.075054,20
Ltbp4, 1.421 ,0.075054,21
Tubb2b, 1.421 ,0.075054,14
Lima1, 1.421 ,0.075054,15
B3gnt7, 1.420 ,0.075054,14
Tubb3, 1.419 ,0.075054,12
Fkbp3, 1.419 ,0.075054,17
Mybl2, 1.419 ,0.075054,25
Txnrd1, 1.417 ,0.075054,22
Trmt1, 1.417 ,0.075054,15
Fkbp1a, 1.417 ,0.075054,32
Uchl1, 1.417 ,0.075054,16
Psmd11, 1.416 ,0.075054,12
Mif4gd, 1.416 ,0.075054,13
Pfdn6, 1.416 ,0.075054,20
1700007K13Rik, 1.416 ,0.075054,8
Rabac1, 1.416 ,0.075054,11
Snrpa1, 1.415 ,0.075054,16
Dtd1, 1.414 ,0.075054,11
Ddx56, 1.413 ,0.075054,20
Srpk1, 1.413 ,0.075054,15
Krtcap2, 1.413 ,0.075054,14
Gorasp2, 1.412 ,0.075054,14
Malsu1, 1.412 ,0.075054,12
Wbp5, 1.411 ,0.075054,18
Mark3, 1.409 ,0.075054,24
Tsta3, 1.408 ,0.075054,12
Tpx2, 1.408 ,0.075054,16
Sec11c, 1.407 ,0.075054,15
H2afz, 1.407 ,0.075054,34
Nfyb, 1.407 ,0.075054,13
Atg101, 1.407 ,0.075054,14
Wars, 1.407 ,0.075054,17
Atp6v0d1, 1.406 ,0.075054,12
Coq7, 1.406 ,0.075054,10
Ctsh, 1.406 ,0.075054,16
2810428I15Rik, 1.406 ,0.075054,15
Fam96b, 1.406 ,0.075054,14
Hbegf, 1.406 ,0.075054,15
Samm50, 1.405 ,0.075054,15
Zc3hc1, 1.404 ,0.075054,19
Rpap1, 1.404 ,0.075054,17
Tpi1, 1.403 ,0.075054,11
Elof1, 1.403 ,0.075054,12
Tcea3, 1.403 ,0.075054,13
1500012F01Rik, 1.402 ,0.075054,14
Cenpa, 1.401 ,0.075054,14
Pecr, 1.400 ,0.075054,13
Myod1, 1.400 ,0.075054,10
Degs1, 1.400 ,0.075054,14
Ndrg4, 1.399 ,0.075054,16
Lonp1, 1.399 ,0.075054,16
Ppa2, 1.399 ,0.075054,15
Apitd1, 1.399 ,0.075054,10
Dcun1d5, 1.399 ,0.075054,11
Ndufa4, 1.398 ,0.075054,19
Stx5a, 1.398 ,0.075054,9
Rheb, 1.398 ,0.075054,21
Ddt, 1.397 ,0.075054,14
Trappc3, 1.397 ,0.075054,12
Cbx3, 1.397 ,0.075054,19
Slirp, 1.396 ,0.075054,21
Mrpl12, 1.396 ,0.075054,14
Tcf15, 1.396 ,0.075054,12
Qdpr, 1.396 ,0.075054,12
Midn, 1.396 ,0.075054,20
Mars, 1.395 ,0.075054,16
Dap, 1.395 ,0.075054,10
2200002D01Rik, 1.394 ,0.075054,11
Zdhhc7, 1.392 ,0.075054,10
Hap1, 1.392 ,0.075054,12
Cdv3, 1.392 ,0.075054,24
Polr2e, 1.392 ,0.075054,22
Ctnnal1, 1.390 ,0.075054,15
Nlrp1a, 1.390 ,0.075054,41
Snx6, 1.390 ,0.075054,10
Xpnpep1, 1.390 ,0.075054,18
Gm10845, 1.390 ,0.075054,19
Trim25, 1.390 ,0.075054,18
Gpx2, 1.390 ,0.075054,8
Esd, 1.389 ,0.075054,14
Sgk1, 1.389 ,0.075054,13
Mrpl13, 1.389 ,0.075054,12
Stmn3, 1.389 ,0.075054,12
Mrpl53, 1.389 ,0.075054,9
Rwdd1, 1.388 ,0.075054,16
Fkbp4, 1.388 ,0.075054,19
Txnl1, 1.388 ,0.075054,20
Asb6, 1.387 ,0.075054,11
Chchd4, 1.387 ,0.075054,13
Sqstm1, 1.387 ,0.075054,19
Guca1a, 1.386 ,0.075054,7
Glipr2, 1.386 ,0.075054,13
Prpsap1, 1.386 ,0.075054,17
Rbmxl1, 1.386 ,0.075054,16
Eif3c, 1.385 ,0.075054,18
Tspan4, 1.385 ,0.075054,11
Dmkn, 1.384 ,0.075054,10
Rian, 1.384 ,0.075054,11
Copb2, 1.384 ,0.075054,13
Ahsa1, 1.384 ,0.075054,19
Ndufb6, 1.384 ,0.075054,12
Atp6v0e, 1.383 ,0.075054,13
Ccdc22, 1.382 ,0.075054,11
Rbm42, 1.381 ,0.075054,12
Cyc1, 1.380 ,0.075054,21
Lmna, 1.380 ,0.075054,15
Clic1, 1.380 ,0.075054,10
Klf4, 1.379 ,0.075054,14
Slc30a2, 1.379 ,0.075054,11
Psmd6, 1.379 ,0.075054,16
Scamp3, 1.378 ,0.075054,16
Calm1, 1.378 ,0.075054,24
Qars, 1.376 ,0.075054,15
Mrpl43, 1.376 ,0.075054,38
Adamts13, 1.376 ,0.075054,18
Ppie, 1.376 ,0.075054,11
Mea1, 1.375 ,0.075054,11
Prpf3, 1.375 ,0.075054,16
Atf4, 1.375 ,0.075054,13
Spata33, 1.375 ,0.075054,11
Atp5j2, 1.374 ,0.075054,19
Lrrc59, 1.374 ,0.075054,23
Fam129b, 1.374 ,0.075054,14
Nhp2, 1.373 ,0.075054,22
Aprt, 1.372 ,0.075054,22
Cdc5l, 1.371 ,0.075054,19
Gna11, 1.371 ,0.075054,11
Spns1, 1.370 ,0.075054,19
Ntan1, 1.370 ,0.075054,20
Actl6a, 1.369 ,0.075054,13
Ywhaq, 1.369 ,0.075054,24
Chmp4b, 1.369 ,0.075054,17
Fto, 1.368 ,0.075054,24
Sdhc, 1.368 ,0.075054,17
Plin2, 1.368 ,0.075054,11
Eif3g, 1.368 ,0.075054,19
Mcm7, 1.368 ,0.075054,16
Crip2, 1.368 ,0.075054,11
Slc6a8, 1.367 ,0.075054,20
Saal1, 1.367 ,0.075054,14
Mrpl23, 1.367 ,0.075054,17
Cdkn1a, 1.367 ,0.075054,9
Emg1, 1.366 ,0.075054,14
Ccdc124, 1.366 ,0.075054,19
Bri3, 1.366 ,0.075054,14
Csrp1, 1.366 ,0.075054,17
Glul, 1.366 ,0.075054,20
Socs2, 1.366 ,0.075054,10
Ftl1, 1.365 ,0.075054,185
Sox2, 1.365 ,0.075054,21
Cdkn2aip, 1.364 ,0.075054,15
Hs1bp3, 1.364 ,0.075054,13
Fdft1, 1.364 ,0.075054,13
Exosc8, 1.364 ,0.075054,13
Guk1, 1.364 ,0.075054,13
Deb1, 1.363 ,0.075054,8
Ndufb10, 1.362 ,0.075054,12
Rnf7, 1.362 ,0.075054,19
Ndufb11, 1.362 ,0.075054,13
Dynll1, 1.362 ,0.075054,22
Gstm1, 1.361 ,0.075054,9
Smn1, 1.361 ,0.075054,14
Vdac3, 1.361 ,0.075054,14
Cdkn2aipnl, 1.360 ,0.075054,14
Safb2, 1.360 ,0.075054,15
Dctn6, 1.360 ,0.075054,9
Gnb2l1, 1.360 ,0.075054,137
Psma5, 1.360 ,0.075054,17
Dazap2, 1.360 ,0.075054,9
Isyna1, 1.360 ,0.075054,11
Odc1, 1.360 ,0.075054,35
Psmb4, 1.360 ,0.075054,25
Timm23, 1.359 ,0.075054,23
1110038F14Rik, 1.359 ,0.075054,9
Tc2n, 1.359 ,0.075054,16
Srrt, 1.359 ,0.075054,22
Defa6, 1.359 ,0.075054,5
Hax1, 1.359 ,0.075054,11
Epas1, 1.358 ,0.075054,13
Socs3, 1.358 ,0.075054,12
Rtcb, 1.358 ,0.075054,21
Psmd2, 1.358 ,0.075054,26
Llgl2, 1.358 ,0.075054,12
Mcl1, 1.358 ,0.075054,16
Cct4, 1.357 ,0.075054,21
Suclg1, 1.357 ,0.075054,13
1110058L19Rik, 1.357 ,0.075054,9
Ybx3, 1.356 ,0.075054,24
P4ha2, 1.356 ,0.075054,11
Fkbp2, 1.356 ,0.075054,12
Fblim1, 1.355 ,0.075054,15
Sf3b1, 1.355 ,0.075054,31
Psmb3, 1.355 ,0.075054,34
Acer2, 1.355 ,0.075054,26
Cacng7, 1.354 ,0.075054,14
Mrps36, 1.354 ,0.075054,10
Phf23, 1.354 ,0.075054,12
Eif2b5, 1.353 ,0.075054,14
Ndufs7, 1.352 ,0.075054,13
Tubg1, 1.352 ,0.075054,9
Dnajc2, 1.352 ,0.075054,17
Capns1, 1.351 ,0.075054,22
Utp3, 1.351 ,0.075054,11
Ctnna1, 1.351 ,0.075054,17
Prr13, 1.351 ,0.075054,11
Psph, 1.351 ,0.075054,10
Prkcsh, 1.351 ,0.075054,21
Mrpl54, 1.351 ,0.075054,13
Slmo2, 1.351 ,0.075054,9
Mrpl46, 1.350 ,0.075054,10
Tprgl, 1.350 ,0.075054,13
Trim28, 1.350 ,0.075054,50
Ctc1, 1.350 ,0.075054,11
Ube2c, 1.349 ,0.075054,26
Txn2, 1.349 ,0.075054,15
Gins4, 1.349 ,0.075054,19
Slc15a4, 1.349 ,0.075054,14
Agpat2, 1.349 ,0.075054,9
Cdca5, 1.349 ,0.075054,11
A430005L14Rik, 1.348 ,0.075054,12
Mrpl30, 1.348 ,0.075054,15
Rcl1, 1.348 ,0.075054,15
Tmem216, 1.347 ,0.075054,8
Sall4, 1.347 ,0.075054,20
Bex4, 1.347 ,0.075054,14
Pttg1ip, 1.347 ,0.075054,14
Immt, 1.347 ,0.075054,21
Wdr74, 1.347 ,0.075054,15
Pttg1, 1.347 ,0.075054,10
Bub3, 1.346 ,0.075054,10
Nodal, 1.346 ,0.075054,9
Ppdpf, 1.346 ,0.075054,10
Atp5g1, 1.346 ,0.075054,24
Eftud2, 1.345 ,0.075054,16
Nop10, 1.345 ,0.075054,15
Rbpms2, 1.344 ,0.075054,13
Impact, 1.344 ,0.075054,19
Vbp1, 1.344 ,0.075054,14
Plk1, 1.344 ,0.075054,13
Pebp1, 1.344 ,0.075054,26
Skap2, 1.343 ,0.075054,11
Atp6v0b, 1.343 ,0.075054,16
Maged1, 1.343 ,0.075054,12
Trmt112, 1.343 ,0.075054,14
Tfg, 1.343 ,0.075054,11
Tyw3, 1.342 ,0.075054,15
Ubqln1, 1.342 ,0.075054,17
Ddost, 1.341 ,0.075054,28
Ccnb1, 1.341 ,0.075054,13
Slc25a20, 1.341 ,0.075054,10
Apoc1, 1.340 ,0.075054,9
Dscr3, 1.340 ,0.075054,17
Ssr2, 1.340 ,0.075054,14
Fgf4, 1.340 ,0.075054,12
Myl12a, 1.340 ,0.075054,26
Mcm6, 1.340 ,0.075054,22
Mrps12, 1.339 ,0.075054,14
Ubl5, 1.339 ,0.075054,14
Trap1, 1.339 ,0.075054,11
Atp5o, 1.339 ,0.075054,21
Gtf2f1, 1.339 ,0.075054,17
Pacsin2, 1.339 ,0.075054,26
Dcaf7, 1.339 ,0.075054,15
2410004N09Rik, 1.338 ,0.075054,11
Cisd3, 1.338 ,0.075054,10
Asnsd1, 1.338 ,0.075054,13
Pomgnt1, 1.337 ,0.075054,9
Rpa1, 1.337 ,0.075054,17
Mrpl4, 1.337 ,0.075054,12
Adprh, 1.337 ,0.075054,10
Tomm40l, 1.336 ,0.075054,13
Ndufa6, 1.336 ,0.075054,21
B4galt3, 1.336 ,0.075054,12
Mvd, 1.336 ,0.075054,12
Rbmxl2, 1.336 ,0.075054,13
Hsph1, 1.336 ,0.075054,22
Lin28a, 1.336 ,0.075054,12
Got1, 1.336 ,0.075054,15
Utp14a, 1.336 ,0.075054,9
Efcc1, 1.336 ,0.075054,21
Ndufs3, 1.336 ,0.075054,15
Fam64a, 1.335 ,0.075054,9
Txnip, 1.335 ,0.075054,13
AU022252, 1.335 ,0.075054,12
Tbrg1, 1.335 ,0.075054,15
Blmh, 1.335 ,0.075054,21
Uqcr10, 1.335 ,0.075054,25
Hexa, 1.334 ,0.075054,9
Mrpl44, 1.334 ,0.075054,10
Add1, 1.334 ,0.075054,11
Mrps24, 1.334 ,0.075054,16
Rpl39, 1.334 ,0.075054,53
Srp14, 1.333 ,0.075054,15
Umps, 1.333 ,0.075054,14
Use1, 1.333 ,0.075054,10
Nxt1, 1.332 ,0.075054,11
Ehd1, 1.332 ,0.075054,27
Timm10, 1.332 ,0.075054,10
Srsf11, 1.331 ,0.075054,15
Cyb5a, 1.331 ,0.075054,13
Cox7a1, 1.331 ,0.075054,7
Taf11, 1.331 ,0.075054,8
Pdhb, 1.331 ,0.075054,16
Eif2b2, 1.331 ,0.075054,11
Lcmt1, 1.330 ,0.075054,14
Fzr1, 1.330 ,0.075054,9
Cggbp1, 1.330 ,0.075054,22
Prdx6, 1.330 ,0.075054,18
Fbxo6, 1.330 ,0.075054,8
Tomm70a, 1.330 ,0.075054,22
Serpinb6a, 1.330 ,0.075054,12
Rmrp, 1.330 ,0.075054,5
Psma1, 1.330 ,0.075054,18
Ppm1a, 1.329 ,0.075054,11
Chtf18, 1.329 ,0.075054,13
Sec13, 1.329 ,0.075054,11
Ndufa10, 1.329 ,0.075054,18
Slc7a3, 1.328 ,0.075054,15
Dapk3, 1.328 ,0.075054,10
Uqcc2, 1.328 ,0.075054,17
Rarg, 1.327 ,0.075054,12
Polr2k, 1.327 ,0.075054,13
Mfsd3, 1.327 ,0.075054,12
Gm9855, 1.326 ,0.075054,12
Scand1, 1.326 ,0.075054,7
Polr2i, 1.326 ,0.075054,14
Atp5e, 1.326 ,0.075054,18
Ppp1r8, 1.326 ,0.075054,15
Rilpl1, 1.326 ,0.075054,8
Podxl, 1.326 ,0.075054,14
Rpph1, 1.325 ,0.075054,4
Lsr, 1.325 ,0.075054,10
Psmc1, 1.325 ,0.075054,18
Lin7b, 1.325 ,0.075054,6
Gabarapl1, 1.325 ,0.075054,13
Zfp42, 1.325 ,0.075054,17
Snrpf, 1.325 ,0.075054,24
Bcl3, 1.324 ,0.075054,10
Atic, 1.324 ,0.075054,17
Ddx39b, 1.324 ,0.075054,17
Ppp2r5a, 1.324 ,0.075054,15
Rangap1, 1.323 ,0.075054,15
Abhd17a, 1.323 ,0.075054,10
Smyd5, 1.323 ,0.075054,11
Dpp7, 1.323 ,0.075054,8
Dnpep, 1.323 ,0.075054,11
Bms1, 1.323 ,0.075054,16
Ptp4a2, 1.323 ,0.075054,15
Lage3, 1.323 ,0.075054,14
Cdca8, 1.323 ,0.075054,16
Ankrd46, 1.323 ,0.075054,8
Ddx23, 1.323 ,0.075054,13
Rfc2, 1.323 ,0.075054,14
Uqcrb, 1.323 ,0.075054,13
Txn1, 1.322 ,0.075054,27
Snhg5, 1.322 ,0.075054,11
Bcat1, 1.322 ,0.075054,31
Yrdc, 1.322 ,0.075054,16
Tuba1b, 1.322 ,0.075054,43
Vipas39, 1.321 ,0.075054,8
Cops8, 1.321 ,0.075054,15
Pcna, 1.321 ,0.075054,17
Ydjc, 1.320 ,0.075054,12
Flna, 1.320 ,0.075054,19
Ampd2, 1.320 ,0.075054,12
Gpn1, 1.320 ,0.075054,11
Sars, 1.320 ,0.075054,11
Pfdn4, 1.319 ,0.075054,13
Mfsd5, 1.319 ,0.075054,11
Igf2bp1, 1.319 ,0.075054,45
Pgp, 1.318 ,0.075054,13
Ear10, 1.318 ,0.075054,6
Cldn7, 1.318 ,0.075054,14
Cpsf4l, 1.318 ,0.075054,10
Mif, 1.317 ,0.075054,29
Nsmce4a, 1.317 ,0.075054,14
Pold1, 1.317 ,0.075054,16
Pnp, 1.316 ,0.075054,15
Cib1, 1.316 ,0.075054,9
Tipin, 1.316 ,0.075054,12
Vdac1, 1.316 ,0.075054,26
4833439L19Rik, 1.316 ,0.075054,12
L1td1, 1.315 ,0.075054,24
Slc25a1, 1.315 ,0.075054,9
Ints3, 1.315 ,0.075054,13
Cdc16, 1.315 ,0.075054,11
Sdhb, 1.315 ,0.075054,10
Sfr1, 1.315 ,0.075054,13
Phlda3, 1.315 ,0.075054,12
Ndufs2, 1.314 ,0.075054,12
Psrc1, 1.314 ,0.075054,10
Prdx2, 1.314 ,0.075054,18
Fam168b, 1.314 ,0.075054,13
Ebp, 1.314 ,0.075054,10
Ss18, 1.314 ,0.075054,10
Sumo2, 1.314 ,0.075054,22
Hdgf, 1.314 ,0.075054,41
Ik, 1.314 ,0.075054,16
Farsa, 1.314 ,0.075054,10
