Sirt7	sirtuin 7	MGI:MGI:2385849	
Setdb1	SET domain, bifurcated 1	MGI:MGI:1934229	ESET|KMT1E
Ing5	inhibitor of growth family, member 5	MGI:MGI:1922816	1700027H23Rik|1810018M11Rik
Hdac5	histone deacetylase 5	MGI:MGI:1333784	mHDA1
Hdac6	histone deacetylase 6	MGI:MGI:1333752	mHDA2|Sfc6
Hcfc1	host cell factor C1	MGI:MGI:105942	HCF1|HCF-1|VP16 accessory protein
Prmt6	protein arginine N-methyltransferase 6	MGI:MGI:2139971	Hrmt1l6
Brd2	bromodomain containing 2	MGI:MGI:99495	D17H6S113E|Frg-1|Fsrg1|Ring3|Rnf3
Eny2	enhancer of yellow 2 homolog (Drosophila)	MGI:MGI:1919286	1810057B09Rik
Arrb1	arrestin, beta 1	MGI:MGI:99473	1200006I17Rik|beta-arrestin1
Dnajc2	DnaJ heat shock protein family (Hsp40) member C2	MGI:MGI:99470	Mida1|Zrf1|Zrf2
H2afy2	H2A histone family, member Y2	MGI:MGI:3037658	macroH2A2
Hira	histone cell cycle regulator	MGI:MGI:99430	D16Ertd95e|Gm15797|Tuple1
Utp3	UTP3 small subunit processome component	MGI:MGI:1919230	2400011K09Rik|Crlz1
Msl3	male-specific lethal 3 homolog (Drosophila)	MGI:MGI:1341851	Msl31|Msl3l1
Jdp2	Jun dimerization protein 2	MGI:MGI:1932093	Jundm2|TIF
Kat5	K(lysine) acetyltransferase 5	MGI:MGI:1932051	Htatip|mHTATIP/CPLA2|PLIP|Tip60
Prmt2	protein arginine N-methyltransferase 2	MGI:MGI:1316652	Hrmt1l1
Smarce1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	MGI:MGI:1927347	2810417B20Rik|5830412H02Rik|9030408N19Rik|BAF57
Ring1	ring finger protein 1	MGI:MGI:1101770	Ring1A
H3f3b	H3 histone, family 3B	MGI:MGI:1101768	9430068D06Rik|H3.3B
Rnf2	ring finger protein 2	MGI:MGI:1101759	dinG|Ring1B
Ubr5	ubiquitin protein ligase E3 component n-recognin 5	MGI:MGI:1918040	4432411E13Rik|Edd|Edd1
Pcgf1	polycomb group ring finger 1	MGI:MGI:1917087	2010002K04Rik|Nspc1
Myod1	myogenic differentiation 1	MGI:MGI:97275	bHLHc1|MYF3|MyoD|Myod-1
Myc	myelocytomatosis oncogene	MGI:MGI:97250	bHLHe39|c-myc|Myc2|Niard|Nird
Myb	myeloblastosis oncogene	MGI:MGI:97249	c-myb
Trim37	tripartite motif-containing 37	MGI:MGI:2153072	1110032A10Rik|2810004E07Rik|MUL|TEF3
Smyd1	SET and MYND domain containing 1	MGI:MGI:104790	4632404M21Rik|Bop
Vprbp	Vpr (HIV-1) binding protein	MGI:MGI:2445220	B930007L02Rik
Kdm5a	lysine (K)-specific demethylase 5A	MGI:MGI:2136980	Jarid1a|Rbbp2|RBP2
Taf5	TATA-box binding protein associated factor 5	MGI:MGI:2442144	6330528C20Rik
Hmgn3	high mobility group nucleosomal binding domain 3	MGI:MGI:2138069	1110002A15Rik|6330514M13Rik|HMGN3a|HMGN3b|TRIP7
Trim16	tripartite motif-containing 16	MGI:MGI:2137356	9130006M08Rik|EBBP
Mrgbp	MRG/MORF4L binding protein	MGI:MGI:1920497	1600027N09Rik
Aurkc	aurora kinase C	MGI:MGI:1321119	AIE1|AIK3|IAK3|Stk13
Zfp451	zinc finger protein 451	MGI:MGI:2137896	4930515K21Rik|4933435G09Rik|Kiaa0576-hp
Dydc1	DPY30 domain containing 1	MGI:MGI:1916746	1700029M23Rik
Kmt2c	lysine (K)-specific methyltransferase 2C	MGI:MGI:2444959	E330008K23Rik|HALR|Mll3
Brca1	breast cancer 1, early onset	MGI:MGI:104537	
Prdm6	PR domain containing 6	MGI:MGI:2684938	LOC225518|PRISM
Wdr82	WD repeat domain containing 82	MGI:MGI:1924555	9430077D24Rik
Usp16	ubiquitin specific peptidase 16	MGI:MGI:1921362	1200004E02Rik|2810483I07Rik|6330514E22Rik|UBP-M
Sycp3	synaptonemal complex protein 3	MGI:MGI:109542	Cor1|Scp3
Scmh1	sex comb on midleg homolog 1	MGI:MGI:1352762	Scml3
L3mbtl4	l(3)mbt-like 4 (Drosophila)	MGI:MGI:2444889	A730037L19Rik|D930040M24Rik
Prdm14	PR domain containing 14	MGI:MGI:3588194	
Huwe1	HECT, UBA and WWE domain containing 1	MGI:MGI:1926884	5430439H10Rik|Arf-bp1|C430014N20Rik|Ib772|LOC382250|Mule|Ureb1
Hist1h1e	histone cluster 1, H1e	MGI:MGI:1931527	H1-4|H1e|H1f4|H1s-4|H1var2
Hist1h1c	histone cluster 1, H1c	MGI:MGI:1931526	0610008C09Rik|H1.2|H1c|H1f2|H1var1
Prdm13	PR domain containing 13	MGI:MGI:2448528	
Suv420h1	suppressor of variegation 4-20 homolog 1 (Drosophila)	MGI:MGI:2444557	C630029K18Rik|KMT5B|Suv4-20h1
Msl1	male-specific lethal 1 homolog (Drosophila)	MGI:MGI:1921276	2810017F12Rik|4121402D02Rik|4930463F05Rik
Phf19	PHD finger protein 19	MGI:MGI:1921266	3110009G19Rik|3321402G02Rik
Ube2n	ubiquitin-conjugating enzyme E2N	MGI:MGI:1934835	UBC13
Lif	leukemia inhibitory factor	MGI:MGI:96787	
Atad2b	ATPase family, AAA domain containing 2B	MGI:MGI:2444798	1110014E10Rik|D530031C13Rik
Taf1	TATA-box binding protein associated factor 1	MGI:MGI:1336878	B430306D02Rik|Ccg1|Ccg-1|KAT4|Taf2a
Ing2	inhibitor of growth family, member 2	MGI:MGI:1916510	2810011M06Rik|Ing1l|P33ING2
Chd7	chromodomain helicase DNA binding protein 7	MGI:MGI:2444748	A730019I05Rik|Cycn|Cyn|Dz|Edy|Flo|GENA 47|Gena 52|GENA 60|Lda|Mt|Obt|Todo|WBE1|Whi
Arid5a	AT rich interactive domain 5A (MRF1-like)	MGI:MGI:2443039	D430024K22Rik|Mrf1
Airn	antisense Igf2r RNA	MGI:MGI:1353471	2810051F02Rik|2810434M15Rik|Air|B930018I07Rik|D17Ertd663e
Naa60	N(alpha)-acetyltransferase 60, NatF catalytic subunit	MGI:MGI:1922013	1200013P24Rik|Nat15
Meaf6	MYST/Esa1-associated factor 6	MGI:MGI:1917338	2310005N01Rik|2810036M01Rik
Nek11	NIMA (never in mitosis gene a)-related expressed kinase 11	MGI:MGI:2442276	4932416N14Rik
Rbl1	retinoblastoma-like 1 (p107)	MGI:MGI:103300	p107
Prkd2	protein kinase D2	MGI:MGI:2141917	PKD2
Pwp1	PWP1 homolog, endonuclein	MGI:MGI:1914735	2310058A11Rik|2610205J09Rik
Mir208b	microRNA 208b	MGI:MGI:3718461	Mirn208b|mmu-mir-208b
Chek1	checkpoint kinase 1	MGI:MGI:1202065	Chk1
Kat2a	K(lysine) acetyltransferase 2A	MGI:MGI:1343101	1110051E14Rik|Gcn5|Gcn5l2|PCAF-B/GCN5
Pax7	paired box 7	MGI:MGI:97491	Pax-7
Pax5	paired box 5	MGI:MGI:97489	EBB-1|Pax-5
Ino80b	INO80 complex subunit B	MGI:MGI:1917270	2510009I23Rik|HMG1YL4|Hmga1l4|Papa1|Znhit4
Csrp2bp	cysteine and glycine-rich protein 2 binding protein	MGI:MGI:1917264	2510008M08Rik|ATAC2|D2Ertd473e|D2Wsu131e
Satb1	special AT-rich sequence binding protein 1	MGI:MGI:105084	2610306G12Rik
Zbtb1	zinc finger and BTB domain containing 1	MGI:MGI:2442326	C430003J21Rik
Trrap	transformation/transcription domain-associated protein	MGI:MGI:2153272	transactivation/transformation-domain associated protein
Chd4	chromodomain helicase DNA binding protein 4	MGI:MGI:1344380	9530019N15Rik|D6Ertd380e|Mi-2beta
Mbd3l1	methyl-CpG binding domain protein 3-like 1	MGI:MGI:1920753	1700070G05Rik|1700095H13Rik|Mbd3l
Mgea5	meningioma expressed antigen 5 (hyaluronidase)	MGI:MGI:1932139	2810009A20Rik|4833427O07Rik|5830447M11Rik|Hy5
Men1	multiple endocrine neoplasia 1	MGI:MGI:1316736	menin
Iws1	IWS1 homolog (S. cerevisiae)	MGI:MGI:1920723	1700069O15Rik
Kat2b	K(lysine) acetyltransferase 2B	MGI:MGI:1343094	A930006P13Rik|Pcaf
Hdac3	histone deacetylase 3	MGI:MGI:1343091	
Hotair	HOX transcript antisense RNA (non-protein coding)	MGI:MGI:3826586	
Skp1a	S-phase kinase-associated protein 1A	MGI:MGI:103575	2610043E24Rik|2610206H23Rik|p19Skp1|Tceb1l
Cdc45	cell division cycle 45	MGI:MGI:1338073	Cdc45l
Mbd3l2	methyl-CpG binding domain protein 3-like 2	MGI:MGI:2158460	
Aebp2	AE binding protein 2	MGI:MGI:1338038	B230313N05Rik
Usp22	ubiquitin specific peptidase 22	MGI:MGI:2144157	
Rnf20	ring finger protein 20	MGI:MGI:1925927	4833430L21Rik
Brd8	bromodomain containing 8	MGI:MGI:1925906	2610007E11Rik|4432404P07Rik|p120|SMAP
Cenpv	centromere protein V	MGI:MGI:1920389	3110013H01Rik|Prr6
BC004004	cDNA sequence BC004004	MGI:MGI:2136782	2400006G15Rik
Ubn1	ubinuclein 1	MGI:MGI:1891307	1110029L11Rik|2610108L02Rik
Rps6ka5	ribosomal protein S6 kinase, polypeptide 5	MGI:MGI:1920336	3110005L17Rik|6330404E13Rik|MSK1
Sirt1	sirtuin 1	MGI:MGI:2135607	Sir2|Sir2alpha
Cbx4	chromobox 4	MGI:MGI:1195985	MPc2|PC2
Nr3c1	nuclear receptor subfamily 3, group C, member 1	MGI:MGI:95824	glucocorticoid receptor|GR|Grl1|Grl-1
Morf4l1	mortality factor 4 like 1	MGI:MGI:1096551	MORFRG15|MRG15|TEG-189|Tex189
Leo1	Leo1, Paf1/RNA polymerase II complex component	MGI:MGI:2685031	LOC235497
Hipk4	homeodomain interacting protein kinase 4	MGI:MGI:2685008	LOC233020
Hdac10	histone deacetylase 10	MGI:MGI:2158340	
Ttf1	transcription termination factor, RNA polymerase I	MGI:MGI:105044	
Jade1	jade family PHD finger 1	MGI:MGI:1925835	D530048A03Rik|Phf17
Wac	WW domain containing adaptor with coiled-coil	MGI:MGI:2387357	1110067P07Rik|A230035H12Rik|Wwp4
Rbl2	retinoblastoma-like 2	MGI:MGI:105085	p130|Rb2
Rtf1	RTF1, Paf1/RNA polymerase II complex component	MGI:MGI:1309480	2900005O08Rik|6530416A09Rik|Gtl7
Kat6b	K(lysine) acetyltransferase 6B	MGI:MGI:1858746	B130044K16Rik|monocytic leukemia|Morf|Myst4|qkf|querkopf
Daxx	Fas death domain-associated protein	MGI:MGI:1197015	
Hils1	histone H1-like protein in spermatids 1	MGI:MGI:2136691	TISP64
Jade3	jade family PHD finger 3	MGI:MGI:2148019	Phf16
Pole4	polymerase (DNA-directed), epsilon 4 (p12 subunit)	MGI:MGI:1914229	2400007P05Rik|5830430F06Rik
Npm2	nucleophosmin/nucleoplasmin 2	MGI:MGI:1890811	
Pcgf2	polycomb group ring finger 2	MGI:MGI:99161	mel-18|Mel18|Rnf110|Zfp144
Whsc1	Wolf-Hirschhorn syndrome candidate 1 (human)	MGI:MGI:1276574	5830445G22Rik|9430010A17Rik|C130020C13Rik|D030027O06Rik|D930023B08Rik|Whsc1l
Nsd1	nuclear receptor-binding SET-domain protein 1	MGI:MGI:1276545	KMT3B
Ncoa3	nuclear receptor coactivator 3	MGI:MGI:1276535	2010305B15Rik|AIB1|bHLHe42|KAT13B|pCIP|RAC3|Src3|TRAM1|TRAM-1
Ncoa2	nuclear receptor coactivator 2	MGI:MGI:1276533	bHLHe75|D1Ertd433e|glucocorticoid receptor-interacting protein 1|Grip1|KAT13C|SRC-2|TIF2|TIF-2|TIF2/GRIP-1
Ncoa1	nuclear receptor coactivator 1	MGI:MGI:1276523	bHLHe74|KAT13A|SRC1|SRC-1|SRC-a/NCoA-1|steroid receptor coactivator-1
Atad2	ATPase family, AAA domain containing 2	MGI:MGI:1917722	2610509G12Rik
Sall1	sal-like 1 (Drosophila)	MGI:MGI:1889585	Msal-3
Padi4	peptidyl arginine deiminase, type IV	MGI:MGI:1338898	Pad4|PAD type IV|Pdi4
Padi2	peptidyl arginine deiminase, type II	MGI:MGI:1338892	PAD type II|Pdi|Pdi2
Sirt6	sirtuin 6	MGI:MGI:1354161	2810449N18Rik
Rbm14	RNA binding motif protein 14	MGI:MGI:1929092	1300007E16Rik|p16|PSP2
Rb1	retinoblastoma 1	MGI:MGI:97874	pRb|Rb|Rb-1
Rnf8	ring finger protein 8	MGI:MGI:1929069	3830404E21Rik|AIP37
Rybp	RING1 and YY1 binding protein	MGI:MGI:1929059	2410018J24Rik|DEDAF
Ehmt2	euchromatic histone lysine N-methyltransferase 2	MGI:MGI:2148922	Bat8|D17Ertd710e|G9a|KMT1C|NG36
Suv39h2	suppressor of variegation 3-9 homolog 2 (Drosophila)	MGI:MGI:1890396	4930507K23Rik|D2Ertd544e|KMT1B|Suv39h histone methyltransferase
Tada2b	transcriptional adaptor 2B	MGI:MGI:3035274	LOC231151
Ddb1	damage specific DNA binding protein 1	MGI:MGI:1202384	damage-specific DNA-binding protein, DNA repair|DNA repair protein|p127-Ddb1
Prdm12	PR domain containing 12	MGI:MGI:2685844	LOC381359
Hjurp	Holliday junction recognition protein	MGI:MGI:2685821	6430706D22Rik|A730008H23Rik|C330011F01Rik
Vps72	vacuolar protein sorting 72	MGI:MGI:1202305	Tcfl1|YL-1
Hdac8	histone deacetylase 8	MGI:MGI:1917565	2610007D20Rik
Usp21	ubiquitin specific peptidase 21	MGI:MGI:1353665	ESTM28|Usp16|Usp23|W53272
Cbx6	chromobox 6	MGI:MGI:3512628	
Pagr1a	PAXIP1 associated glutamate rich protein 1A	MGI:MGI:1914528	2900092E17Rik|C77040|PA1
Uimc1	ubiquitin interaction motif containing 1	MGI:MGI:103185	9430016E08Rik|D330018D10Rik|D630032M02Rik|Rxrip110
Cbx8	chromobox 8	MGI:MGI:1353589	Pc3|polycomb 3
Brms1	breast cancer metastasis-suppressor 1	MGI:MGI:2388804	
Cdk9	cyclin-dependent kinase 9 (CDC2-related kinase)	MGI:MGI:1328368	PITALRE
Smarcb1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	MGI:MGI:1328366	Baf47|Ini1|integrase interactor 1|Snf5|SNF5/INI1
Dppa3	developmental pluripotency-associated 3	MGI:MGI:1920958	2410075G02Rik|PGC7|stella
Paxbp1	PAX3 and PAX7 binding protein 1	MGI:MGI:1914617	1810007M14Rik|Gcfc1|Pax3/7bp
Paxip1	PAX interacting (with transcription-activation domain) protein 1	MGI:MGI:1890430	D5Ertd149e|PTIP
Yeats2	YEATS domain containing 2	MGI:MGI:2447762	
Mir744	microRNA 744	MGI:MGI:3691603	mir-744|Mirn744|mmu-mir-744
Snai2	snail family zinc finger 2	MGI:MGI:1096393	Slug|Slugh|Snail2
Tpr	translocated promoter region, nuclear basket protein	MGI:MGI:1922066	2610029M07Rik
Prkcb	protein kinase C, beta	MGI:MGI:97596	A130082F03Rik|Pkcb|PKC-Beta|Prkcb1|Prkcb2
Prkca	protein kinase C, alpha	MGI:MGI:97595	Pkca
Baz1b	bromodomain adjacent to zinc finger domain, 1B	MGI:MGI:1353499	Wbscr9|WSTF
Mbip	MAP3K12 binding inhibitory protein 1	MGI:MGI:1918320	4933408E06Rik
Tcf3	transcription factor 3	MGI:MGI:98510	A1|ALF2|bHLHb21|E12|E2A|E47|Pan1|Pan2|Tcfe2a
Brd7	bromodomain containing 7	MGI:MGI:1349766	BP75|bromodomain protein 75 kDa|CELTIX1
Hnf1a	HNF1 homeobox A	MGI:MGI:98504	hepatocyte nuclear factor 1|Hnf-1|HNF1|HNF1[a]|Hnf1alpha|HNF1-alpha|LFB1|Tcf1
Dmap1	DNA methyltransferase 1-associated protein 1	MGI:MGI:1913483	1500016M21Rik
Baz1a	bromodomain adjacent to zinc finger domain 1A	MGI:MGI:1309478	Acf1|Gtl5|Wcrf180
Hist1h2ba	histone cluster 1, H2ba	MGI:MGI:2448375	
Setd3	SET domain containing 3	MGI:MGI:1289184	2610102I01Rik|2610305M23Rik|D12Ertd771e
Lrwd1	leucine-rich repeats and WD repeat domain containing 1	MGI:MGI:1918985	1200011O22Rik|Orca
Sgf29	SAGA complex associated factor 29	MGI:MGI:1922815	1700023O11Rik|Ccdc101
Phf21a	PHD finger protein 21A	MGI:MGI:2384756	80kDa|Bhc80|Braf35/HDAC complex (Bhc)|D030065N23Rik|PFTF1
Wbscr22	Williams Beuren syndrome chromosome region 22	MGI:MGI:1913388	1110003N24Rik
Sfpq	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	MGI:MGI:1918764	1110004P21Rik|2810416M14Rik|5730453G22Rik|9030402K04Rik|D4Ertd314e|PSF|REP1
Setd6	SET domain containing 6	MGI:MGI:1913333	0610039J04Rik
Kdm4a	lysine (K)-specific demethylase 4A	MGI:MGI:2446210	D4Ertd222e|JHDM3A|Jmjd2|Jmjd2a
Eid1	EP300 interacting inhibitor of differentiation 1	MGI:MGI:1889651	2610002K20Rik|Cri1|EID-1|ORF12
Setd1a	SET domain containing 1A	MGI:MGI:2446244	KMT2F
Usp15	ubiquitin specific peptidase 15	MGI:MGI:101857	4921514G19Rik|E430033I05Rik|Gcap18
Phf2	PHD finger protein 2	MGI:MGI:1338034	
Nap1l2	nucleosome assembly protein 1-like 2	MGI:MGI:106654	Bpx
Mthfr	5,10-methylenetetrahydrofolate reductase	MGI:MGI:106639	
Hdac7	histone deacetylase 7	MGI:MGI:1891835	5830434K02Rik|Hdac7a
Brpf3	bromodomain and PHD finger containing, 3	MGI:MGI:2146836	
Irf4	interferon regulatory factor 4	MGI:MGI:1096873	IRF-4|Spip
Gcg	glucagon	MGI:MGI:95674	GLP-1|Glu|glucagon-like peptide I|PPG
Gata3	GATA binding protein 3	MGI:MGI:95663	Gata-3|jal
Gata2	GATA binding protein 2	MGI:MGI:95662	Gata-2
Apobec1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	MGI:MGI:103298	
Map3k12	mitogen-activated protein kinase kinase kinase 12	MGI:MGI:1346881	DLK|MUK|Zpk
Mapk8	mitogen-activated protein kinase 8	MGI:MGI:1346861	c-Jun N-terminal kinase|JNK1|Prkm8
Mapk3	mitogen-activated protein kinase 3	MGI:MGI:1346859	Erk1|Erk-1|Esrk1|Mtap2k|p44erk1|p44mapk|p44 MAP kinase|Prkm3
Phc1	polyhomeotic-like 1 (Drosophila)	MGI:MGI:103248	Edr1|Mph1|rae28|Rae-28
Slk	STE20-like kinase	MGI:MGI:103241	9A2|Etk4|mSLK|Stk2
Hdac2	histone deacetylase 2	MGI:MGI:1097691	D10Wsu179e|Yy1bp
Bcorl1	BCL6 co-repressor-like 1	MGI:MGI:2443910	6720425J07Rik
Smyd2	SET and MYND domain containing 2	MGI:MGI:1915889	1110020E07Rik|KMT3C|Zmynd14
Ino80	INO80 complex subunit	MGI:MGI:1915392	2310079N15Rik|4632409L19Rik|Inoc1
Fshr	follicle stimulating hormone receptor	MGI:MGI:95583	follicle-stimulating hormone receptor|Follitropin receptor|FSH-R
Fmr1	fragile X mental retardation syndrome 1	MGI:MGI:95564	Fmr-1|FMRP
L3mbtl2	l(3)mbt-like 2 (Drosophila)	MGI:MGI:2443584	4732493N06Rik|m4mbt
Vegfa	vascular endothelial growth factor A	MGI:MGI:103178	Vegf|VEGF120|VEGF164|VEGF188|VEGF-A|VPF
Gfi1	growth factor independent 1	MGI:MGI:103170	Gfi-1|Pal1|Pal-1
Chd1l	chromodomain helicase DNA binding protein 1-like	MGI:MGI:1915308	4432404A22Rik|Snf2p
Phb	prohibitin	MGI:MGI:97572	
Setd2	SET domain containing 2	MGI:MGI:1918177	4921524K10Rik|KMT3A
Kat8	K(lysine) acetyltransferase 8	MGI:MGI:1915023	2010203C02Rik|5830450F21Rik|D7Ertd629e|MOF|Myst1
Chd8	chromodomain helicase DNA binding protein 8	MGI:MGI:1915022	5830451P18Rik|Duplin
Mir1186	microRNA 1186	MGI:MGI:3783360	Mirn1186|mmu-mir-1186
Gatad2b	GATA zinc finger domain containing 2B	MGI:MGI:2443225	C430014D17Rik|p66beta
Dtx3l	deltex 3-like, E3 ubiquitin ligase	MGI:MGI:2656973	
Mysm1	myb-like, SWIRM and MPN domains 1	MGI:MGI:2444584	C130067A03Rik|C530050H10Rik
Tsix	X (inactive)-specific transcript, opposite strand	MGI:MGI:1336196	
Prkaa2	protein kinase, AMP-activated, alpha 2 catalytic subunit	MGI:MGI:1336173	2310008I11Rik|AMPKalpha2
Tbl1x	transducin (beta)-like 1 X-linked	MGI:MGI:1336172	Tbl1
Bahd1	bromo adjacent homology domain containing 1	MGI:MGI:2139371	LOC228536
Taf7	TATA-box binding protein associated factor 7	MGI:MGI:1346348	55kDa|Taf2f|TAFII55
Mta2	metastasis-associated gene family, member 2	MGI:MGI:1346340	mmta2|Mta1l1
Taf10	TATA-box binding protein associated factor 10	MGI:MGI:1346320	30kDa|Taf2h|TAFII30
Anp32e	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	MGI:MGI:1913721	2810018A15Rik|CPD1|LANP-L
Taf12	TATA-box binding protein associated factor 12	MGI:MGI:1913714	20kDa|2810422D08Rik|Taf2J
Pbrm1	polybromo 1	MGI:MGI:1923998	2310032M22Rik|2610016F04Rik|BAF180|Pb1
Tdg	thymine DNA glycosylase	MGI:MGI:108247	E130317C12Rik|Jza1
Paf1	Paf1, RNA polymerase II complex component	MGI:MGI:1923988	5730511K23Rik
Kansl1	KAT8 regulatory NSL complex subunit 1	MGI:MGI:1923969	1700081L11Rik
Prkd1	protein kinase D1	MGI:MGI:99879	Pkcm|PKD1|Prkcm
Ino80c	INO80 complex subunit C	MGI:MGI:2443014	D030070L09Rik
Coprs	coordinator of PRMT5, differentiation stimulator	MGI:MGI:1913673	1700029I03Rik|2410022L05Rik|COPR5|MGC11316
Fbl	fibrillarin	MGI:MGI:95486	RNU3IP1
Smarcad1	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1	MGI:MGI:95453	D6Pas1|Etl1
Nacc2	nucleus accumbens associated 2, BEN and BTB (POZ) domain containing	MGI:MGI:1915241	0610020I02Rik|Btbd14a|C030048H19Rik
Ash1l	ash1 (absent, small, or homeotic)-like (Drosophila)	MGI:MGI:2183158	8030453L17Rik|chromatin remodeling factor|E430018P19Rik|KMT2H
Kmt5a	lysine methyltransferase 5A	MGI:MGI:1915206	2410195B05Rik|PR-SET7|Setd8
Atrx	alpha thalassemia/mental retardation syndrome X-linked	MGI:MGI:103067	4833408C14Rik|DXHXS6677E|Hp1bp2|HP1-BP38|Rad54|XH2|Xnp
Rere	arginine glutamic acid dipeptide (RE) repeats	MGI:MGI:2683486	1110033A15Rik|Atr2|atrophin-2|eye<m03Jus>|eyes3
Pou5f1	POU domain, class 5, transcription factor 1	MGI:MGI:101893	Oct-3|Oct-3/4|Oct3/4|Oct4|Oct-4|Otf3|Otf-3|Otf3g|Otf3-rs7|Otf4|Otf-4
Srebf1	sterol regulatory element binding transcription factor 1	MGI:MGI:107606	ADD-1|bHLHd1|SREBP1|SREBP-1|SREBP-1a|SREBP1c|SREBP-1c
Prdm5	PR domain containing 5	MGI:MGI:1918029	4432417F03Rik|6530401I24Rik|E130112L17Rik|PFM2
Cbx3	chromobox 3	MGI:MGI:108515	heterochromatin protein 1 gamma|HP1g|M32
Prmt8	protein arginine N-methyltransferase 8	MGI:MGI:3043083	Hrmt1l3|Hrmt1l4
Kdm7a	lysine (K)-specific demethylase 7A	MGI:MGI:2443388	A630082K20Rik|ENSMUSG00000073143|Jhdm1d
Rps6ka4	ribosomal protein S6 kinase, polypeptide 4	MGI:MGI:1930076	1110069D02Rik|90kDa|MSK2
Baz2a	bromodomain adjacent to zinc finger domain, 2A	MGI:MGI:2151152	C030005G16Rik|Tip5|Walp3
Piwil2	piwi-like RNA-mediated gene silencing 2	MGI:MGI:1930036	mili|Miwi like
Nipbl	Nipped-B homolog (Drosophila)	MGI:MGI:1913976	4921518A06Rik|4933421G18Rik
Satb2	special AT-rich sequence binding protein 2	MGI:MGI:2679336	
Isl1	ISL1 transcription factor, LIM/homeodomain	MGI:MGI:101791	Islet 1
Smyd3	SET and MYND domain containing 3	MGI:MGI:1916976	2410008A19Rik|Zmynd1
Carm1	coactivator-associated arginine methyltransferase 1	MGI:MGI:1913208	Prmt4
Per1	period circadian clock 1	MGI:MGI:1098283	mPer1|m-rigui
Cdyl	chromodomain protein, Y chromosome-like	MGI:MGI:1339956	
